Pre-primer 	Primer 	First 	Second 	Third
the 	he 	of 	would 	if
to 	was 	his 	very 	long
and 	that 	had 	your 	about
a 	she 	him 	its 	got
I 	on 	her 	around 	six
you 	they 	some 	don’?t 	never
it 	but 	as 	right 	seven
in 	at 	then 	green 	eight
said 	with 	could 	their 	today
for 	all 	when 	call 	myself
up 	there 	were 	sleep 	much
look 	out 	them 	five 	keep
is 	be 	ask 	wash 	try
go 	have 	an 	or 	start
we 	am 	over 	before 	ten
little 	do 	just 	been 	bring
down 	did 	from 	off 	drink
can 	what 	any 	cold 	only
see 	so 	how 	tell 	better
not 	get 	know 	work 	hold
one 	like 	put 	first 	warm
my 	this 	take 	does 	full
me 	will 	every 	goes 	done
big 	yes 	old 	write 	light
come 	went 	by 	always 	pick
blue 	are 	after 	made 	hurt
red 	now 	think 	gave 	cut
where 	no 	let 	us 	kind
jump 	came 	going 	buy 	fall
away 	ride 	walk 	those 	carry
here 	into 	again 	use 	small
help 	good 	may 	fast 	own
make 	want 	stop 	pull 	show
yellow 	too 	fly 	both 	hot
two 	pretty 	round 	sit 	far
play 	four 	give 	which 	draw
run 	saw 	once 	read 	clean
find 	well 	open 	why 	grow
three 	ran 	has 	found 	together
funny 	brown 	live 	because 	shall
	eat 	thank 	best 	laugh
	who 		upon 	
	new 		these 	
	must 		sing 	
	black 		wish 	
	white 		many 	
	soon 			
	our 			
	ate 			
	say 			
	under 			
	please 		
